hs6,base_exports,base_imports,v25_exports,v25_imports,import_change25,export_change25,us_tariff_2019,us_tariff_2020,trump1_hit
110900,0,6189763,0,1438079,-0.7676681643545965,NA,25,25,TRUE
120190,15264136618,3288183.3333333335,3078630378,2188354,-0.33447932242220885,-0.7983095634528341,25,25,TRUE
120600,32600,2290904.3333333335,0,2029097,-0.11428121616601776,NA,25,25,TRUE
120740,0,1452084.3333333333,0,1138970,-0.2156309562369311,NA,25,25,TRUE
120770,214332,4120549,365352,1398020,-0.6607199671694233,NA,25,25,TRUE
120799,862785.3333333333,11500352.666666666,485000,6950815,-0.39559983928608794,NA,25,25,TRUE
120930,6859892,7199920.333333333,4256001,4657646,-0.35309756436656864,-0.37958192344719127,25,25,TRUE
120991,15198039.333333334,28865865.666666668,17648012,14016210,-0.5144365264546544,0.16120320608022284,25,25,TRUE
120999,564324.6666666666,1163750.3333333333,657941,1068811,-0.08158049936827795,NA,25,25,TRUE
121190,3011915.3333333335,30577604.666666668,5708457,24684303,-0.19273261365338692,0.8952913240367756,28,26.5,TRUE
121221,30278,8689688.666666666,128705,5907435,-0.32017875132158546,NA,25,25,TRUE
121299,219154.3333333333,92319365,331535,88267149,-0.04389345615624631,NA,25,25,TRUE
130190,305688.3333333333,5010045.666666667,91855,2854892,-0.430166471536487,NA,11.25,5.625,TRUE
130212,45355,10532686.333333334,4299,4690181,-0.5547022999102572,NA,15,7.5,TRUE
130219,15117180.666666666,292207351.6666667,13021096,270656779,-0.07375095987061386,-0.13865579256378974,15,7.5,TRUE
130220,35264.666666666664,7249964.333333333,145646,6673133,-0.07956333394375775,NA,15,7.5,TRUE
130231,225401.33333333334,7225047.666666667,234777,2739827,-0.6207876921504047,NA,15,7.5,TRUE
130232,3006520.3333333335,3188358.6666666665,2868004,4705215,0.47574833697087204,-0.04607197623032878,15,7.5,TRUE
130239,10098102.333333334,8389957,7500176,7336355,-0.12557895111977332,-0.25726876670260196,15,7.5,TRUE
140110,111868,10112110.333333334,23771,7809711,-0.22768732316376694,NA,25,25,TRUE
140120,0,2006489.6666666667,0,1526575,-0.23918123010518041,NA,7.5,3.75,TRUE
140490,77631.66666666667,11083083,140087,11191523,0.009784281142710922,NA,23,21.5,TRUE
150420,8340614.666666667,1019764.3333333334,7817814,1122397,0.1006435146944081,-0.06268131157719635,25,25,TRUE
150500,1231738.3333333333,5250785.333333333,187030,3613290,-0.31185722313538367,-0.8481576850061499,25,25,TRUE
151519,139985.33333333334,3314572,192628,1844491,-0.44352061140925586,NA,15,7.5,TRUE
151550,505943.6666666667,6052639.333333333,558281,6284115,0.03824375680075221,NA,15,7.5,TRUE
151590,5639958,17134648.333333332,6605256,15018863,-0.12347993913696695,0.17115340220618663,15,7.5,TRUE
