sector,year,exports,imports,base_imports,base_exports,base_total,total_trade,trade_change,trade_asymmetry
05,2015,266200493,437512309,426078294.6666667,262558827,688637121.6666666,703712802,0.021892052953588415,0.6084411513094138
05,2016,254085015,387033694,426078294.6666667,262558827,688637121.6666666,641118709,-0.06900355959850189,0.6564932690330574
05,2017,267390973,453688881,426078294.6666667,262558827,688637121.6666666,721079854,0.04711150664491365,0.5893707873347683
05,2018,317097034,463002095,426078294.6666667,262558827,688637121.6666666,780099129,0.13281597005978044,0.6848717045222009
05,2019,295976684,265362178,426078294.6666667,262558827,688637121.6666666,561338862,-0.18485535510861567,1.1153687621602202
05,2020,286780245,161644438,426078294.6666667,262558827,688637121.6666666,448424683,-0.348822959304452,1.7741423617681173
05,2021,318772959,226297895,426078294.6666667,262558827,688637121.6666666,545070854,-0.2084788390715881,1.408643058743432
06,2015,7269741,44767037,51284525.333333336,5739244.333333333,57023769.666666664,52036778,-0.08745461227516528,0.1623904883407852
06,2016,5471654,51214876,51284525.333333336,5739244.333333333,57023769.666666664,56686530,-0.0059140191649553146,0.10683720097262366
06,2017,4476338,57871663,51284525.333333336,5739244.333333333,57023769.666666664,62348001,0.09336863144012073,0.07734939291445625
06,2018,4578705,76783378,51284525.333333336,5739244.333333333,57023769.666666664,81362083,0.4268099684675939,0.059631460861229627
06,2019,5416790,78226280,51284525.333333336,5739244.333333333,57023769.666666664,83643070,0.4668106035244052,0.06924514370362492
06,2020,6104603,71210065,51284525.333333336,5739244.333333333,57023769.666666664,77314668,0.3558322862894561,0.0857266876529322
06,2021,7187325,111957528,51284525.333333336,5739244.333333333,57023769.666666664,119144853,1.0893892791806488,0.06419688902027204
07,2015,49134182,451246872,470513114,45610317,516123431,500381054,-0.030501186449719622,0.10888536862810652
07,2016,40122600,488695868,470513114,45610317,516123431,528818468,0.02459690112383214,0.08210136943494681
07,2017,47574169,471596602,470513114,45610317,516123431,519170771,0.0059042853258874815,0.10087894780887331
07,2018,33885254,436964122,470513114,45610317,516123431,470849376,-0.08771943353216995,0.07754699366370404
07,2019,31410509,351886824,470513114,45610317,516123431,383297333,-0.2573533577862308,0.08926310068375848
07,2020,80261140,345532077,470513114,45610317,516123431,425793217,-0.17501668898267864,0.2322827469358221
07,2021,45184175,375060004,470513114,45610317,516123431,420244179,-0.18576806678633428,0.12047185655125199
