hs6,year,exports,imports,base_imports,base_exports,import_change,export_change,hs2
010649,2020,0,19908,9744,0,1.043103448275862,NA,01
010649,2021,0,30496,9744,0,2.129720853858785,NA,01
010690,2015,57120,20580,12420.333333333334,23698.333333333336,0.656960360698854,1.4102960827062379,01
010690,2016,8225,2560,12420.333333333334,23698.333333333336,-0.7938863691258957,-0.6529291792671778,01
010690,2017,5750,14121,12420.333333333334,23698.333333333336,0.1369260084270416,-0.7573669034390604,01
010690,2018,5894,50125,12420.333333333334,23698.333333333336,3.035720995142374,-0.7512905267599691,01
010690,2019,6050,87646,12420.333333333334,23698.333333333336,6.056654410778026,-0.7447077853576202,01
010690,2020,0,97088,12420.333333333334,23698.333333333336,6.816859450900405,-1,01
010690,2021,0,174174,12420.333333333334,23698.333333333336,13.02329513432275,-1,01
020110,2018,3360,0,NA,NA,NA,NA,02
020110,2019,28000,0,NA,NA,NA,NA,02
020110,2020,6000,0,NA,NA,NA,NA,02
020110,2021,115000,0,NA,NA,NA,NA,02
020120,2017,927082,0,0,927082,NA,0,02
020120,2018,1516718,0,0,927082,NA,0.6360127798835487,02
020120,2019,1964402,0,0,927082,NA,1.1189085755089625,02
020120,2020,1245196,0,0,927082,NA,0.3431346957442815,02
020120,2021,4435573,0,0,927082,NA,3.784445173134631,02
020130,2017,5404173,0,0,5404173,NA,0,02
020130,2018,5259725,0,0,5404173,NA,-0.026728974072443647,02
020130,2019,12724895,0,0,5404173,NA,1.3546424216989352,02
020130,2020,57265951,0,0,5404173,NA,9.596616910672548,02
020130,2021,220407170,0,0,5404173,NA,39.78462514060893,02
020210,2018,132636,0,NA,NA,NA,NA,02
020210,2020,166559,0,NA,NA,NA,NA,02
020210,2021,352956,0,NA,NA,NA,NA,02
020220,2015,2892,0,0,846600,NA,-0.9965839829907867,02
020220,2017,1690308,0,0,846600,NA,0.9965839829907867,02
020220,2018,3647340,0,0,846600,NA,3.3082211197732105,02
020220,2019,5222212,0,0,846600,NA,5.168452634065675,02
020220,2020,17095052,0,0,846600,NA,19.192596267422633,02
020220,2021,133976051,0,0,846600,NA,157.25189109378692,02
020230,2017,22728235,0,0,22728235,NA,0,02
020230,2018,49722915,0,0,22728235,NA,1.187715632120136,02
020230,2019,65233722,0,0,22728235,NA,1.8701622453305327,02
020230,2020,206288323,0,0,22728235,NA,8.076301921376649,02
020230,2021,1165629993,0,0,22728235,NA,50.28554826188659,02
020311,2015,342471,0,0,342471,NA,0,02
020311,2019,33875476,0,0,342471,NA,97.91487454412199,02
020311,2020,439028,0,0,342471,NA,0.2819421206467117,02
020312,2015,168913,0,0,130604.33333333333,NA,0.2933184963235013,02
020312,2016,76247,0,0,130604.33333333333,NA,-0.4161985436930372,02
020312,2017,146653,0,0,130604.33333333333,NA,0.12288004736953602,02
020312,2018,131354,0,0,130604.33333333333,NA,0.005739983104184942,02
020312,2019,1159103,0,0,130604.33333333333,NA,7.874919923534952,02
020312,2020,1591143,0,0,130604.33333333333,NA,11.182926549144618,02
020312,2021,86632,0,0,130604.33333333333,NA,-0.33668357098922186,02
020319,2015,629688,0,0,329461.6666666667,NA,0.9112633235024812,02
020319,2016,73194,0,0,329461.6666666667,NA,-0.7778375835327327,02
020319,2017,285503,0,0,329461.6666666667,NA,-0.13342573996974869,02
020319,2018,134374,0,0,329461.6666666667,NA,-0.5921407143977296,02
020319,2019,808947,0,0,329461.6666666667,NA,1.4553600064752095,02
020319,2020,397433,0,0,329461.6666666667,NA,0.20631029406557155,02
020319,2021,785935,0,0,329461.6666666667,NA,1.385512730363168,02
020321,2015,9035782,0,0,5932844.666666667,NA,0.5230100411640644,02
020321,2016,7492704,0,0,5932844.666666667,NA,0.262919294364356,02
020321,2017,1270048,0,0,5932844.666666667,NA,-0.7859293355284205,02
020321,2018,244981,0,0,5932844.666666667,NA,-0.9587076665977097,02
020321,2019,414972837,0,0,5932844.666666667,NA,68.94500283000835,02
020321,2020,400736060,0,0,5932844.666666667,NA,66.545348397795,02
020321,2021,50460413,0,0,5932844.666666667,NA,7.505264478523905,02
020322,2015,50734048,0,0,75202552.33333333,NA,-0.3253680037996228,02
020322,2016,105419885,0,0,75202552.33333333,NA,0.4018125945078186,02
020322,2017,69453724,0,0,75202552.33333333,NA,-0.07644459070819563,02
020322,2018,14755663,0,0,75202552.33333333,NA,-0.8037877366901602,02
020322,2019,86364545,0,0,75202552.33333333,NA,0.14842571588782563,02
020322,2020,320974028,0,0,75202552.33333333,NA,3.2681267861400647,02
020322,2021,234132966,0,0,75202552.33333333,NA,2.1133646230810337,02
020329,2015,112418700,0,0,165065650.33333334,NA,-0.3189455239598194,02
020329,2016,216743173,0,0,165065650.33333334,NA,0.3130725415149011,02
020329,2017,166035078,0,0,165065650.33333334,NA,0.005872982444918103,02
020329,2018,183821321,0,0,165065650.33333334,NA,0.1136255218986596,02
020329,2019,318446118,0,0,165065650.33333334,NA,0.9292088775401203,02
020329,2020,924436304,167178,0,165065650.33333334,NA,4.600415968635477,02
020329,2021,604920520,357458,0,165065650.33333334,NA,2.6647268452183983,02
020410,2017,117374,0,0,117374,NA,0,02
020410,2020,77219,0,0,117374,NA,-0.34211154088639734,02
020442,2017,3388,0,0,3388,NA,0,02
020442,2018,0,72465,0,3388,NA,-1,02
020443,2018,0,83134,NA,NA,NA,NA,02
020500,2021,503272,0,NA,NA,NA,NA,02
020610,2016,0,10519,10519,0,0,NA,02
020610,2018,3105,0,10519,0,-1,NA,02
020610,2021,237171,0,10519,0,-1,NA,02
020621,2019,378402,0,NA,NA,NA,NA,02
020621,2020,376075,0,NA,NA,NA,NA,02
020621,2021,1700638,0,NA,NA,NA,NA,02
020622,2021,286527,0,NA,NA,NA,NA,02
020629,2017,107465,0,0,107465,NA,0,02
020629,2018,299699,0,0,107465,NA,1.788805657655981,02
020629,2019,324483,0,0,107465,NA,2.019429581724282,02
