hs_code,best_avlbl
020442,20.352541745962
030239,20
030274,30
030451,32.5
030461,44.5
030771,28.5
051110,20
071120,30.333333333333332
071290,45.25994568447909
080131,10
090961,16.5
100610,21
190420,37.75
190510,27.5
200710,57
230650,20.324991310390004
250700,45
250810,45
251620,46.5
251741,41.5
262021,20
270112,10
271012,25.0223919116034
282690,31.1
284161,25
284210,47.349999999999994
284444,20
290514,36
291040,22.40000000000001
292011,20
292113,20
292229,33.75166666666667
293213,48.69999999999999
293311,16.25
293329,31.9875
293392,45
293919,10
300341,10
300450,10
330130,27.5
382484,51.75
382569,20
382769,39.19999999999999
390810,41.15
392111,50.30000000000001
392610,25.30000000000001
400510,45
400591,45
401110,63.45
401490,22.09999999999999
410150,23.41428571428572
411330,45
480591,43.1
482090,45
482290,45
540339,54
540710,52.099999999999994
540741,57.099999999999994
551012,55.599999999999994
551090,55.93333333333333
560749,50.575
581099,49.5
600690,48
610290,27.049999999999997
610899,29.133333333333336
620892,43
621020,28.725
630130,35.400000000000006
680210,49.80000000000001
680300,45.400000000000006
701120,43.79999999999999
711510,49
720150,20
740729,63.36
741011,66.64
761300,69.47
780411,47.19999999999999
841840,50.4
842790,44.35
843351,49.35
843680,44.5
843780,45
845180,36
845310,27.5
845620,41.2
845910,44.30000000000001
848590,41.55
848620,33.5
851981,28.1
854419,52.8
854420,50.30000000000001
854442,47.76666666666667
854913,20
870422,62
902750,38.56666666666666
903039,45
930621,27.5
940389,43.5
950670,25.30333333333333
970199,17.5
010229,20.12744048729
010513,20.382419827909985
020751,20.883897490560003
021092,22.30000000000001
030439,45
030441,28.5
030489,35.25
030497,26
030636,32.5
030695,34.5
030821,31
071239,46.166666666666664
081060,12.199999999999989
120730,20
150190,22
200310,56
200819,46.37282294444289
240419,40.71596095791333
251520,47
262091,20
270300,10
270600,35
271220,17.5
271290,33
271312,32
280480,35
281212,23.69999999999999
282010,39.7
282731,36.5
290312,48.69999999999999
291242,25.5
291524,48.5
291631,48.875
291818,22.170000000000016
292690,37.005625
293333,10
293339,14.763636363636364
321000,38.80000000000001
340239,47.599999999999994
350610,49.015
360320,30.5
391620,48.30000000000001
391910,43.400000000000006
420232,53.35
440311,36.5
481200,44
481850,44.5
520932,51.900000000000006
540772,56.900000000000006
540823,37.125
550911,54.400000000000006
551632,60.25
610432,42.400000000000006
610469,38.2
610722,43.5
611130,54.64
611300,31.950000000000003
630419,32.120000000000005
650100,47.666666666666664
670300,26.75
670411,27.5
690220,38.75
691410,48.75
720441,30
720915,83.5
721050,77
722410,91
790120,15.5
820590,43.25
821191,51.32714285714285
842430,45
842691,53
842919,49.35
844513,27.5
845110,39
846261,48.150000000000006
846729,31.85
847329,44.5
851989,24.666666666666668
853620,47.69999999999999
871410,30.03
901600,48.366666666666674
903120,46.19999999999999
910119,27.333333333333332
920600,29.90000000000001
940340,46.5
940539,52.5
020311,20
020443,20.202104234806495
020860,26.40000000000001
030369,20
030564,32.75
050610,20
070200,11.666666666666666
070511,31.203287588099997
070930,20.787689931559996
071090,55.95
080510,34
080522,21
080590,12.300000000000011
090220,20.700000000000003
151419,33.900000000000006
160553,45
190532,27.5
200870,51.25
200912,22.75
200941,24.5
210111,21.25
230250,46.400000000000006
252800,36.5
261000,10
271114,23.5
282911,41.5
283640,46.60000000000001
283911,46.099999999999994
284019,45.099999999999994
284180,20.5
290389,29.25625
290392,15.25
290549,42.44
290713,25.5
291521,25.30000000000001
291616,48.849999999999994
292241,12.85
293141,48.849999999999994
293294,26.5
293369,30.65666666666667
293371,51.5
293520,26.5
293690,10
310420,35
310590,35
340111,40
382440,48.833333333333336
382712,23.69999999999999
392490,26.800000000000004
400941,47.5
410210,20.666666666666668
410320,21.666666666666668
420330,46.19999999999999
430211,34.599999999999994
440349,10
440719,45
441821,49.80000000000001
441882,23.19999999999999
470319,20
480258,33.25
481092,41.875
520623,54.19999999999999
520631,54.19999999999999
520634,54.19999999999999
520939,52.900000000000006
540248,53
540310,54.55
540774,47.400000000000006
550210,52.5
551442,39.900000000000006
551631,60.900000000000006
560122,49.80000000000001
560721,45
590190,47.3
610821,34.599999999999994
611599,33.975
620290,28.90000000000001
621111,40.26666666666667
621600,34.220000000000006
630229,31.5
630539,33.400000000000006
650691,43.5
681519,45
691390,29
701919,39.53333333333333
701963,37.13333333333333
710811,10
721912,71.5
722100,72.5
730419,57.69
731829,67.27000000000002
740100,10
741533,67.10333333333334
750300,10
761290,63.57
800120,10
810921,24.19999999999999
820713,48.599999999999994
820810,43.5
821591,49.93666666666667
830990,63.06999999999999
841690,44
843241,44.5
843699,34
844331,27.5
845229,34
846211,49.400000000000006
846233,49.400000000000006
846890,43.45
850519,48.900000000000006
851420,50.63333333333333
851679,22.69999999999999
852791,23.75
854151,35
854290,33
860799,47.715
870191,48.43
870340,46.5
890110,45
900699,30.90000000000001
900720,38.475
901420,33
901839,20
902131,20
902720,39.25
903141,45
920290,30.59999999999999
940569,50.666666666666664
950510,21.25
950790,30.861999999999995
010231,20
020210,23.700000000000003
020410,20.12687228864999
030191,20
030520,30
030549,38.25
030554,45
030799,45
070810,45.558098767904994
080910,20.057121096724984
081020,20.051952823389996
081190,31.74769401411636
081290,38.78377709421667
091012,17.692440113279986
100191,22.80000000000001
110220,45.11435029728
150810,28.5
151090,20.653373028983328
151110,27.5
160556,45.333333333333336
252530,20
252910,20
271320,35
281390,17.899999999999995
282300,40
282759,41.8
285290,34
290290,37.833333333333336
290349,24.69
290420,43.59375
290544,32.400000000000006
291732,51.5
291823,35.125
292142,39.72636363636364
292146,10
293321,41.25
293969,10
300214,10
300443,20
320641,46
330710,47.58
340119,21
340241,49
370110,32.7
370239,44.69999999999999
382100,25
382313,27.19999999999999
390130,46.150000000000006
390931,51.5
391721,43.55000000000001
420229,51.85000000000001
440726,10
441011,34
441879,47.69999999999999
510521,47.5
521212,52.150000000000006
551011,54
551120,52.5
551441,46.400000000000006
551621,58.900000000000006
580620,51.5
580900,59.400000000000006
591120,37.76666666666667
610130,40.599999999999994
610461,42.400000000000006
620459,37.325
631090,27.5
681099,39.5
681291,26.65000000000001
700600,47.03333333333334
701810,46
721020,85
721070,89.75
721891,73
722720,63.5
730423,66.69
741129,68.34
760310,50
810297,20
810320,13.5
820600,53
830890,46.7
842911,49.35
843629,45
845931,43.19999999999999
851310,28
851890,44.75
853290,39
853310,45
870322,47.5
870452,60
870520,23.69
890800,20
900219,45
901090,41.95
901710,45.2
901831,29
940620,38.760000000000005
030256,21.5
030447,20
040510,34.75
050210,20.045293240095987
071021,44.62400480286999
071030,59
080292,13.918765628956509
090190,13.865387398115004
160540,45
190540,27.5
251512,46
260800,10
261610,10.511460280039998
262019,20.026103602297
290542,48.69999999999999
290621,48
291440,45.93
291736,41
292221,35.725
293292,51.5
293359,14.174615384615386
293391,10
330520,45
340520,45.93
381239,48.6
381511,24
382768,48.69999999999999
390461,39.9
390610,47.80000000000001
392079,48.33333333333332
400110,10
401610,44.5
470630,45
480524,30.166666666666668
520633,54.19999999999999
530820,45
540751,54.400000000000006
551641,51.900000000000006
560410,49.30000000000001
570190,41.75
580136,36.80000000000001
610831,36
620341,38.650000000000006
700231,45
701333,36.7
730621,67.27333333333333
731590,67.87000000000002
740931,67.37333333333333
740939,59.04
750210,35
810931,45
830300,44.30000000000001
840120,47.599999999999994
841430,52.925
841510,49.71666666666667
841610,27
841830,50.4
842542,49.35
843610,45
844130,44
845899,49.3
846031,49.400000000000006
846225,47.900000000000006
846310,29.90000000000001
847981,45
850213,47
850239,36.25
851580,44.5
851810,33.75
851930,25.450000000000003
852589,40
852852,10
870121,39
902680,39.166666666666664
920810,23.19999999999999
960390,28.405
960711,52
030119,20
030284,23.25
030491,23
030752,45
030787,22.5
030812,45
070521,20.040046959173992
070940,28.565456127809995
071022,37.45
071234,36.75
071310,32.34428710254334
110422,45.5
110812,42.13857337629
110813,45.49818714873999
121130,20
180610,37.8125
210120,30.833333333333332
251310,45
262060,35
270210,11
280469,25.40000000000001
283692,39.2
283719,21
290270,20
290345,14.900000000000002
290715,48.333333333333336
291532,48.80000000000001
292151,47.0625
293721,10
294150,10
310221,35
380993,51.25
390319,41
390599,39.325
390791,49.1
391733,43.05000000000001
401219,51.13333333333333
410622,47.400000000000006
442019,23.19999999999999
481099,45
481960,44.5
520813,49.400000000000006
530921,47.96666666666667
540769,53.74000000000001
550410,24.80000000000001
550490,49.30000000000001
551339,59.900000000000006
580110,40.5
580810,47.76
610349,38.95
620240,42.06153846153846
620451,41.5
621112,32.5
660110,26.5
681599,44.75
701510,27.5
720690,91.5
720925,92.5
721632,97
731441,63.97
731511,48.34999999999998
740400,25.25
780110,22.5
820160,47
820560,47.900000000000006
821510,49.97
830150,30.59999999999999
841199,29.84999999999999
841790,47.25
843139,40.85
843860,43.5
845430,44.5
847983,47.25
848330,50.35
853921,46.3
854232,21
854790,54.510000000000005
860719,48.10833333333333
870490,85
870710,58.5
900150,29.5
901180,40
901390,46.20333333333334
901780,49.80000000000001
902789,38.833333333333336
910219,34.25
930330,23
930690,26.5
940171,32
020711,22
020755,21
030383,20
030481,20
040221,35.74976597923
070890,24.899403897736004
100840,11.099999999999994
120991,45.02158611122595
160558,40.75
180310,17.5
220110,45.32408159187
240412,49.666666666666664
251749,33.5
261210,10
283230,46.8
283325,36.4
291212,44.5
291412,47.099999999999994
291431,50.5
292144,49.875
293020,30.525
293961,20
300259,10
300670,15
320412,47.785714285714285
350790,44.75
380630,51
382483,22.5
382491,40
392062,44.19999999999999
400400,45
401120,56.2
410441,42.620000000000005
440121,35
440721,10
440794,35
460199,48
490199,16.5
490210,25
490290,17.5
520531,50.80000000000001
520625,39.19999999999999
521031,51.23333333333333
531090,45
540234,53.400000000000006
540821,57.900000000000006
551323,43.400000000000006
551411,37.900000000000006
560790,45.540000000000006
591132,45.30000000000001
600610,53
620339,38.45
620721,36.400000000000006
630420,30.80000000000001
630532,35.900000000000006
681511,45
710812,28.799999999999997
730619,67.44
790310,45.173858408670014
810929,24.19999999999999
820510,51.19999999999999
830130,33.19999999999999
840681,23.34999999999999
841392,43
841960,29.34999999999999
842139,39
842410,31.35
842612,20
842619,20.5
842630,20.5
842720,49.35
844314,47.19999999999999
845020,32.85
845410,42
845891,46.55
846249,48.900000000000006
846420,46.5
847982,42.5
850152,61.675
851822,26.5
852210,48.900000000000006
854160,41.5
870122,39
870240,31.25
870829,63.62
871639,45.69
880699,20
901190,39.5
910990,38.519600528826665
930700,30.19999999999999
950621,26.5
950669,29.933333333333337
960340,25.75
010392,20
030485,20
030496,26
030788,20
060390,31.5
071029,29.955745119866197
120923,20
121020,22.403715859209996
160419,45.8125
200897,45.5
220900,45.220033537849986
252930,45
253010,45
280120,35
281216,23.69999999999999
290346,21.84999999999999
290543,32.099999999999994
291819,39.48428571428572
293110,48.69999999999999
293296,26.5
293949,10
300320,10
300339,10
350400,31.25
360500,27.5
392091,48.69999999999999
401130,33
401220,47.9
440321,45
440723,35
440831,20
480255,40.416666666666664
490300,10
520912,51.5
521224,53.900000000000006
540720,45
551642,54.5
580131,37.19999999999999
580210,33.60000000000001
591190,43.80000000000001
610721,36.400000000000006
611241,51.900000000000006
630612,28.80000000000001
690912,44.5
720926,83
720928,92.5
731210,64.2477777777778
732490,64.47
811269,34.7
830510,50.36999999999999
841410,47.25
841583,50.55
841920,20
841950,50.64999999999999
846019,49.400000000000006
846520,46.1
847160,50.8
848291,48.400000000000006
850710,60.75
851431,45.650000000000006
851718,20
852550,36.333333333333336
854520,45
860610,34
870220,22
870894,60.25
890322,42
900290,44.1
900590,27
901841,20
911180,33
920710,32.900000000000006
960630,48
970210,27.5
010290,20.42069716776001
030389,40
080450,25.88532095485333
090620,17.5
100810,45
110814,35
130211,20
190211,30.700000000000003
250900,44.5
270810,35
271311,35
280511,25.80000000000001
283531,46.400000000000006
284920,10.25
290311,50
290323,48.400000000000006
291590,33.269999999999996
291714,37.849999999999994
291812,45
293550,16.5
293963,10
321390,48.33
380892,34.53333333333333
381129,51
381900,51.5
390729,50.75
391190,44.457142857142856
392049,50.30000000000001
392330,47.5
400829,47.675
401590,49
440210,31
441249,35
441700,36.65
441889,47.69999999999999
460194,41.93333333333333
510910,42
530919,44
540110,56.400000000000006
540331,55
550319,47.150000000000006
570220,40.25
590110,47.05
600240,53.400000000000006
600523,55
610333,46.849999999999994
630232,33.150000000000006
630510,27.5
630520,33.19999999999999
640351,33.125
640411,44
681280,36.650000000000006
700521,48.3
700729,43.400000000000006
710813,26.2
720890,60
821290,27.5
830400,23.90000000000001
830590,26.59999999999999
840991,49.514
841319,44.5
841490,45.5125
842132,59.5
842890,44.85
846040,49.400000000000006
847150,58.5
848180,47.275
850220,50.4
850750,44.69999999999999
854310,32.900000000000006
854320,44.5
854911,26
860630,34
