hs6,china_t1_base,china_t1_conf,china_decline_t1,china_t2_base,china_t2_conf,china_decline_t2,t1_mexico,t1_vietnam,t1_taiwan,t2_mexico,t2_vietnam,t2_taiwan,any_third_rose_t2,third_mean_t2
020810,3059181.3333333335,2690254,-0.12059675224657058,2721292.6666666665,1831948,-0.3268096363027473,NA,NA,NA,NA,NA,NA,NA,NA
020890,15818939.333333334,7105965,-0.550793839570112,6132696,3766468,-0.3858381370933762,NA,1,NA,NA,-0.5058108432039602,NA,FALSE,-0.5058108432039602
030323,40865339.666666664,40797672,-0.00165586942916957,60621941.666666664,54441731,-0.10194676212531956,NA,-0.22859294417546833,-1,NA,1.3750173680270499,0.11824589749102063,TRUE,0.7466316327590352
030369,1951049,5173488,1.6516443205680635,6404578.666666667,4386865,-0.31504237385170697,NA,NA,NA,NA,NA,NA,NA,NA
030389,78978352.33333333,62766251,-0.20527272163021443,67175316.33333333,41978278,-0.3750937056745977,0.5330104056010839,0.11169925499087716,-1,0.19547938459067385,0.1522718407428831,-0.09495938467484583,TRUE,0.08426394688623705
030461,492078914.3333333,313918341,-0.36205691433599546,343914335,293287978,-0.14720630066205295,0.5128084160428762,-0.6361247624768024,-1,0.39982539853382604,20.61731054666772,0.435513653826211,TRUE,7.150883199675918
030462,34698836.333333336,26106092,-0.24763782424250175,23761909.333333332,11791965,-0.5037450553917328,NA,-0.06618866800196324,NA,NA,-0.15669786486015155,NA,FALSE,-0.15669786486015155
030469,6514954,409490,-0.9371461410164984,2482905.3333333335,3535290,0.4238521108872991,NA,NA,NA,NA,0.8922379953777947,NA,TRUE,0.8922379953777947
030471,272864766.3333333,290726960,0.06546170803469041,321019012,262068081,-0.18363688378680823,NA,2.804206792101752,NA,NA,0.6323862326207923,NA,TRUE,0.6323862326207923
030472,63801678.666666664,65429581,0.02551503921767245,71541412,68619646,-0.04084020594952752,NA,NA,NA,NA,11.259926517471579,NA,TRUE,11.259926517471579
030474,2479423.3333333335,2345052,-0.0541945909465508,1324432.3333333333,820795,-0.3802665645180815,NA,NA,NA,NA,NA,NA,NA,NA
030475,74180199,103647552,0.3972401449071335,76960143.33333333,30704103,-0.6010389057227588,NA,-0.9769838356217321,NA,NA,1,NA,TRUE,1
030479,37704589.666666664,9625318,-0.7447176037428299,6710725.666666667,5665122,-0.15581081966446056,NA,0.7518966436846425,-1,NA,-0.9841552515871382,NA,FALSE,-0.9841552515871382
030481,213185139.66666663,269301156,0.26322667903154773,199610599.33333337,152714235,-0.2349392491679275,NA,1.4625137849663825,NA,NA,0.5892764273584379,NA,TRUE,0.5892764273584379
